,Title,Original Title,Year,Critic Rating,User Rating,Genre,Production Country,Duration
0,Velma,No original title,2023-,3.1,No user rating,Animacja,USA,26 min
1,The I-Land,No original title,2019-,No critic rating,6.4,Sci-Fi,USA,60 min
2,Resident Evil: Remedium,Resident Evil,2022-,2.3,No user rating,Horror,"Horror, Akcja",52 min
3,Mecenas She-Hulk,She-Hulk: Attorney at Law,2022-,4.3,No user rating,Akcja,"Akcja, Sci-Fi",33 min
4,Wiedźmin: Rodowód krwi,The Witcher: Blood Origin,2022-,1.9,No user rating,Fantasy,"Fantasy, Przygodowy",52 min
5,Krakowskie potwory,No original title,2022-,3.0,No user rating,Fantasy,Polska,53 min
6,Skarb narodów: Na skraju historii,National Treasure: Edge of History,2022-,4.8,No user rating,Przygodowy,Przygodowy,50 min
7,Brokat,No original title,2022-,5.8,No user rating,Dramat,Polska,32 min
8,Dziewczyna i kosmonauta,No original title,2023-,No critic rating,7.4,Romans,Polska,47 min
9,Przeklęta,Cursed,2020-,4.9,No user rating,Fantasy,"Fantasy, Przygodowy",60 min
10,Tajna inwazja,Secret Invasion,2023-,5.3,No user rating,Akcja,"Akcja, Sci-Fi",50 min
11,Jessica Jones,No original title,2015-2019,No critic rating,7.7,Kryminał,USA,60 min
12,Botoks,No original title,2018-,4.7,No user rating,Thriller,Polska,43 min
13,Echo,No original title,2024-,No critic rating,6.2,Kryminał,USA,41 min
14,Forst,No original title,2024-,4.0,No user rating,Kryminał,Polska,43 min
15,Sky Rojo,No original title,2021-2023,No critic rating,No user rating,Akcja,Hiszpania,25 min
16,The Rain,Regnen,2018-2020,5.5,No user rating,Dramat,"Dramat, Thriller, Sci-Fi",45 min
17,Freud,No original title,2020-,No critic rating,No user rating,Kryminał,Niemcy,No duration
18,Skazana,No original title,2021-2024,No critic rating,6.9,Kryminał,Polska,42 min
19,Dziedzictwo Jowisza,Jupiter's Legacy,2021-,No critic rating,6.2,Sci-Fi,Sci-Fi,45 min
20,Obi-Wan Kenobi,No original title,2022-,5.2,No user rating,Przygodowy,USA,No duration
21,Plemiona Europy,Tribes of Europa,2021-,4.9,No user rating,Dramat,"Dramat, Sci-Fi",47 min
22,Zabić ból,Painkiller,2023-,No critic rating,6.3,Dramat,Dramat,48 min
23,Osiecka,No original title,2020-,3.9,No user rating,Biograficzny,Polska,45 min
24,Yasuke,No original title,2021-,No critic rating,No user rating,Akcja,"Japonia, USA",No duration
25,Przeznaczenie: Saga Winx,Fate: The Winx Saga,2021-,4.7,No user rating,Fantasy,Fantasy,52 min
26,Idol,The Idol,2023-,2.4,No user rating,Dramat,Dramat,55 min
27,Citadel,No original title,2023-,5.3,No user rating,USA,42 min,42 min
28,Władca Pierścieni: Pierścienie Władzy,The Lord of the Rings: The Rings of Power,2022-,4.8,No user rating,Fantasy,"Fantasy, Przygodowy",67 min
29,Resident Evil: Wieczny mrok,Resident Evil: Infinite Darkness,2021-,5.8,No user rating,Animacja,"Animacja, Horror",27 min
30,Różowe lata 90.,That '90s Show,2023-,No critic rating,No user rating,Komedia,Komedia,23 min
31,Iron Fist,No original title,2017-2018,4.8,No user rating,Kryminał,USA,60 min
32,The Eddy,No original title,2020-,5.2,No user rating,Dramat,Wielka Brytania,60 min
33,Elemental Gelade,No original title,2005-,No critic rating,No user rating,Fantasy,Japonia,25 min
34,The Defenders,No original title,2017-,No critic rating,6.2,Kryminał,USA,50 min
35,Rozłąka,Away,2020-,No critic rating,6.4,Sci-Fi,Sci-Fi,51 min
36,Fubar,No original title,2023-,No critic rating,7.0,Komedia,USA,53 min
37,Riverdale,No original title,2017-2023,3.7,No user rating,Dramat,USA,45 min
38,Żmijowisko,No original title,2019-,5.4,No user rating,Kryminał,Polska,45 min
39,Człowiek kontra pszczoła,Man vs. Bee,2022-,No critic rating,6.1,Komedia,Komedia,12 min
40,Halo,No original title,2022-,No critic rating,6.7,Akcja,USA,51 min
41,1983,No original title,2018-,5.3,No user rating,Thriller,"Polska, USA",56 min
